TARCICA SUCHA;TD-28/E;TARCICA D･B;Extra;2,5-3,5;28;-;-;-;1;-;-;-;-;3 570,00 zｳ
;TD-28/I;TARCICA D･B;I;2,5-3,5;28;-;-;-;1;-;-;-;-;3 050,00 zｳ
;TD-28/II;TARCICA D･B;II;2,5-3,5;28;-;-;-;1;-;-;-;-;2 260,00 zｳ
;TD-28/III;TARCICA D･B;III;2,5-3,5;28;-;-;-;1;-;-;-;-;1 450,00 zｳ
;TDD-28/E;TARCICA D･B D｣UGA;Extra;4,5;28;-;-;-;1;-;-;-;-;3 250,00 zｳ
;TDD-28/I;TARCICA D･B D｣UGA;I;4,5;28;-;-;-;1;-;-;-;-;3 250,00 zｳ
;TDD-28/II;TARCICA D･B D｣UGA;II;4,5;28;-;-;-;1;-;-;-;-;2 460,00 zｳ
;TDD-28/III;TARCICA D･B D｣UGA;III;4,5;28;-;-;-;1;-;-;-;-;1 650,00 zｳ
;TD-38/E;TARCICA D･B;Extra;2,5-3,5;38;-;-;-;1;-;-;-;-;3 700,00 zｳ
;TD-38/I;TARCICA D･B;I;2,5-3,5;38;-;-;-;1;-;-;-;-;3 300,00 zｳ
;TD-38/II;TARCICA D･B;II;2,5-3,5;38;-;-;-;1;-;-;-;-;2 360,00 zｳ
;TD-38/III;TARCICA D･B;III;2,5-3,5;38;-;-;-;1;-;-;-;-;1 550,00 zｳ
;TD-50/E;TARCICA D･B;Extra;2,5-3,5;50;-;-;-;1;-;-;-;-;3 980,00 zｳ
;TD-50/I;TARCICA D･B;I;2,5-3,5;50;-;-;-;1;-;-;-;-;3 470,00 zｳ
;TD-50/II;TARCICA D･B;II;2,5-3,5;50;-;-;-;1;-;-;-;-;2 530,00 zｳ
;TD-50/III;TARCICA D･B;III;2,5-3,5;50;-;-;-;1;-;-;-;-;1 650,00 zｳ
;TDD-50/E;TARCICA D･B D｣UGA;Extra;4,5;50;-;-;-;1;-;-;-;-;4 180,00 zｳ
;TDD-50/I;TARCICA D･B D｣UGA;I;4,5;50;-;-;-;1;-;-;-;-;3 670,00 zｳ
;TDD-50/II;TARCICA D･B D｣UGA;II;4,5;50;-;-;-;1;-;-;-;-;2 730,00 zｳ
;TDD-50/III;TARCICA D･B D｣UGA;III;4,5;50;-;-;-;1;-;-;-;-;1 850,00 zｳ
;TJ-28/E;TARCICA JESION;Extra;2,5-3,5;28;-;-;-;1;-;-;-;-;2 910,00 zｳ
;TJ-28/I;TARCICA JESION;I;2,5-3,5;28;-;-;-;1;-;-;-;-;2 220,00 zｳ
;TJ-28/II;TARCICA JESION;II;2,5-3,5;28;-;-;-;1;-;-;-;-;1 790,00 zｳ
;TJ-28/III;TARCICA JESION;III;2,5-3,5;28;-;-;-;1;-;-;-;-;880,00 zｳ
;TJD-28/E;TARCICA JESION D｣UGA;Extra;4,5;28;-;-;-;1;-;-;-;-;3 110,00 zｳ
;TJD-28/I;TARCICA JESION D｣UGA;I;4,5;28;-;-;-;1;-;-;-;-;2 420,00 zｳ
;TJD-28/II;TARCICA JESION D｣UGA;II;4,5;28;-;-;-;1;-;-;-;-;1 990,00 zｳ
;TJD-28/III;TARCICA JESION D｣UGA;III;4,5;28;-;-;-;1;-;-;-;-;1 080,00 zｳ
;TJ-38/E;TARCICA JESION;Extra;2,5-3,5;38;-;-;-;1;-;-;-;-;3 170,00 zｳ
;TJ-38/I;TARCICA JESION;I;2,5-3,5;38;-;-;-;1;-;-;-;-;2 480,00 zｳ
;TJ-38/II;TARCICA JESION;II;2,5-3,5;38;-;-;-;1;-;-;-;-;1 850,00 zｳ
;TJ-38/III;TARCICA JESION;III;2,5-3,5;38;-;-;-;1;-;-;-;-;980,00 zｳ
;TJ-50/E;TARCICA JESION;Extra;2,5-3,5;50;-;-;-;1;-;-;-;-;3 170,00 zｳ
;TJ-50/I;TARCICA JESION;I;2,5-3,5;50;-;-;-;1;-;-;-;-;2 480,00 zｳ
;TJ-50/II;TARCICA JESION;II;2,5-3,5;50;-;-;-;1;-;-;-;-;1 850,00 zｳ
;TJ-50/III;TARCICA JESION;III;2,5-3,5;50;-;-;-;1;-;-;-;-;980,00 zｳ
;TJD-50/E;TARCICA JESION D｣UGA;Extra;4,5;50;-;-;-;1;-;-;-;-;3 370,00 zｳ
;TJD-50/I;TARCICA JESION D｣UGA;I;4,5;50;-;-;-;1;-;-;-;-;2 680,00 zｳ
;TJD-50/II;TARCICA JESION D｣UGA;II;4,5;50;-;-;-;1;-;-;-;-;2 050,00 zｳ
;TJD-50/III;TARCICA JESION D｣UGA;III;4,5;50;-;-;-;1;-;-;-;-;1 180,00 zｳ
;TJ-65/E;TARCICA JESION;Extra;4,5;65;-;-;-;1;-;-;-;-;3 370,00 zｳ
;TJ-65/I;TARCICA JESION;I;4,5;65;-;-;-;1;-;-;-;-;2 680,00 zｳ
;TJ-65/II;TARCICA JESION;II;4,5;65;-;-;-;1;-;-;-;-;2 050,00 zｳ
;TJ-65/III;TARCICA JESION;III;4,5;65;-;-;-;1;-;-;-;-;1 180,00 zｳ
;TB-26/E;TARCICA BUK;Extra;2,5-3,5;26;-;-;-;1;-;-;-;-;1 800,00 zｳ
;TB-26/I;TARCICA BUK;I;2,5-3,5;26;-;-;-;1;-;-;-;-;1 450,00 zｳ
;TB-26/II;TARCICA BUK;II;2,5-3,5;26;-;-;-;1;-;-;-;-;1 250,00 zｳ
;TB-26/III;TARCICA BUK;III;2,5-3,5;26;-;-;-;1;-;-;-;-;750,00 zｳ
;TB-26/T;TARCICA BUK;Twar.;2,5-3,5;26;-;-;-;1;-;-;-;-;1 150,00 zｳ
;TB-38/E;TARCICA BUK;Extra;2,5-3,5;38;-;-;-;1;-;-;-;-;1 980,00 zｳ
;TB-38/I;TARCICA BUK;I;2,5-3,5;38;-;-;-;1;-;-;-;-;1 530,00 zｳ
;TB-38/II;TARCICA BUK;II;2,5-3,5;38;-;-;-;1;-;-;-;-;1 330,00 zｳ
;TB-38/III;TARCICA BUK;III;2,5-3,5;38;-;-;-;1;-;-;-;-;980,00 zｳ
;TB-38/T;TARCICA BUK;Twar.;2,5-3,5;38;-;-;-;1;-;-;-;-;1 380,00 zｳ
;TB-50/E;TARCICA BUK;Extra;2,5-3,5;50;-;-;-;1;-;-;-;-;1 980,00 zｳ
;TB-50/I;TARCICA BUK;I;2,5-3,5;50;-;-;-;1;-;-;-;-;1 530,00 zｳ
;TB-50/II;TARCICA BUK;II;2,5-3,5;50;-;-;-;1;-;-;-;-;1 330,00 zｳ
