TARCICA SUCHA;TROCKENES SCHNITTHOLZ;TIMBER DRY;TD-28/E;TARCICA DĄB;SCHNITTHOLZ EICHE;OAK TIMBER;Extra;2,5-3,5;28;-;-;-;1;-;-;-;-;3570,00 zł
;;;TD-28/I;TARCICA DĄB;SCHNITTHOLZ EICHE;OAK TIMBER;I;2,5-3,5;28;-;-;-;1;-;-;-;-;3050,00 zł
;;;TD-28/II;TARCICA DĄB;SCHNITTHOLZ EICHE;OAK TIMBER;II;2,5-3,5;28;-;-;-;1;-;-;-;-;2260,00 zł
;;;TD-28/III;TARCICA DĄB;SCHNITTHOLZ EICHE;OAK TIMBER;III;2,5-3,5;28;-;-;-;1;-;-;-;-;1450,00 zł
;;;TDD-28/E;TARCICA DĄB DŁUGA;SCHNITTHOLZ EICHE LANG;OAK TIMBER LONG;Extra;4,5;28;-;-;-;1;-;-;-;-;3250,00 zł
;;;TDD-28/I;TARCICA DĄB DŁUGA;SCHNITTHOLZ EICHE LANG;OAK TIMBER LONG;I;4,5;28;-;-;-;1;-;-;-;-;3250,00 zł
;;;TDD-28/II;TARCICA DĄB DŁUGA;SCHNITTHOLZ EICHE LANG;OAK TIMBER LONG;II;4,5;28;-;-;-;1;-;-;-;-;2460,00 zł
;;;TDD-28/III;TARCICA DĄB DŁUGA;SCHNITTHOLZ EICHE LANG;OAK TIMBER LONG;III;4,5;28;-;-;-;1;-;-;-;-;1650,00 zł
;;;TD-38/E;TARCICA DĄB;SCHNITTHOLZ EICHE;OAK TIMBER;Extra;2,5-3,5;38;-;-;-;1;-;-;-;-;3700,00 zł
;;;TD-38/I;TARCICA DĄB;SCHNITTHOLZ EICHE;OAK TIMBER;I;2,5-3,5;38;-;-;-;1;-;-;-;-;3300,00 zł
;;;TD-38/II;TARCICA DĄB;SCHNITTHOLZ EICHE;OAK TIMBER;II;2,5-3,5;38;-;-;-;1;-;-;-;-;2360,00 zł
;;;TD-38/III;TARCICA DĄB;SCHNITTHOLZ EICHE;OAK TIMBER;III;2,5-3,5;38;-;-;-;1;-;-;-;-;1550,00 zł
;;;TD-50/E;TARCICA DĄB;SCHNITTHOLZ EICHE;OAK TIMBER;Extra;2,5-3,5;50;-;-;-;1;-;-;-;-;3980,00 zł
;;;TD-50/I;TARCICA DĄB;SCHNITTHOLZ EICHE;OAK TIMBER;I;2,5-3,5;50;-;-;-;1;-;-;-;-;3470,00 zł
;;;TD-50/II;TARCICA DĄB;SCHNITTHOLZ EICHE;OAK TIMBER;II;2,5-3,5;50;-;-;-;1;-;-;-;-;2530,00 zł
;;;TD-50/III;TARCICA DĄB;SCHNITTHOLZ EICHE;OAK TIMBER;III;2,5-3,5;50;-;-;-;1;-;-;-;-;1650,00 zł
;;;TDD-50/E;TARCICA DĄB DŁUGA;SCHNITTHOLZ EICHE LANG;OAK TIMBER LONG;Extra;4,5;50;-;-;-;1;-;-;-;-;4180,00 zł
;;;TDD-50/I;TARCICA DĄB DŁUGA;SCHNITTHOLZ EICHE LANG;OAK TIMBER LONG;I;4,5;50;-;-;-;1;-;-;-;-;3670,00 zł
;;;TDD-50/II;TARCICA DĄB DŁUGA;SCHNITTHOLZ EICHE LANG;OAK TIMBER LONG;II;4,5;50;-;-;-;1;-;-;-;-;2730,00 zł
;;;TDD-50/III;TARCICA DĄB DŁUGA;SCHNITTHOLZ EICHE LANG;OAK TIMBER LONG;III;4,5;50;-;-;-;1;-;-;-;-;1850,00 zł
;;;TJ-28/E;TARCICA JESION;SCHNITTHOLZ ESCHE;ASH TIMBER;Extra;2,5-3,5;28;-;-;-;1;-;-;-;-;2910,00 zł
;;;TJ-28/I;TARCICA JESION;SCHNITTHOLZ ESCHE;ASH TIMBER;I;2,5-3,5;28;-;-;-;1;-;-;-;-;2220,00 zł
;;;TJ-28/II;TARCICA JESION;SCHNITTHOLZ ESCHE;ASH TIMBER;II;2,5-3,5;28;-;-;-;1;-;-;-;-;1790,00 zł
;;;TJ-28/III;TARCICA JESION;SCHNITTHOLZ ESCHE;ASH TIMBER;III;2,5-3,5;28;-;-;-;1;-;-;-;-;880,00 zł
